"hid","doc_id","year","region","station","country","act","class","new_doc_id"
"HID0203","MD1876",1886,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1886"
"HID0204","MD1876",1886,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1886"
"HID0205","MD1876",1886,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1886"
"HID0206","MD1876",1886,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1886"
"HID0207","MD1876",1886,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1886"
"HID0208","MD1876",1887,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1887"
"HID0209","MD1876",1887,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1887"
"HID0210","MD1876",1887,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military","MD1887"
"HID0211","MD1876",1887,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1887"
"HID0212","MD1876",1887,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1887"
"HID0213","MD1876",1887,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1887"
"HID0214","MD1876",1887,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1887"
"HID0215","MD1876",1887,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1887"
"HID0216","MD1876",1887,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1887"
"HID0217","MD1876",1887,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1887"
"HID0218","MD1876",1887,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1887"
"HID0219","MD1876",1887,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1887"
"HID0220","MD1876",1887,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1887"
"HID0221","MD1876",1888,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1888"
"HID0222","MD1876",1888,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1888"
"HID0223","MD1876",1888,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military","MD1888"
"HID0224","MD1876",1888,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1888"
"HID0225","MD1876",1888,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1888"
"HID0226","MD1876",1888,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1888"
"HID0227","MD1876",1888,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1888"
"HID0228","MD1876",1888,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1888"
"HID0229","MD1876",1888,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1888"
"HID0230","MD1876",1888,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1888"
"HID0231","MD1876",1888,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1888"
"HID0232","MD1876",1888,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1888"
"HID0233","MD1876",1888,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1888"
"HID0234","MD1876",1889,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1889"
"HID0235","MD1876",1889,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1889"
"HID0236","MD1876",1889,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military","MD1889"
"HID0237","MD1876",1889,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1889"
"HID0238","MD1876",1889,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1889"
"HID0239","MD1876",1889,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1889"
"HID0240","MD1876",1889,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1889"
"HID0241","MD1876",1889,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1889"
"HID0242","MD1876",1889,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1889"
"HID0243","MD1876",1889,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1889"
"HID0244","MD1876",1889,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1889"
"HID0245","MD1876",1889,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1889"
"HID0246","MD1876",1889,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1889"
"HID0247","BB1886",1873,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1873"
"HID0248","BB1886",1873,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1873"
"HID0249","BB1886",1873,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1873"
"HID0250","BB1886",1873,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1873"
"HID0251","BB1886",1873,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1873"
"HID0252","BB1886",1873,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1873"
"HID0253","BB1886",1875,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1875"
"HID0254","BB1886",1875,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1875"
"HID0255","BB1886",1875,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1875"
"HID0256","BB1886",1875,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1875"
"HID0257","BB1886",1875,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1875"
"HID0258","BB1886",1875,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1875"
"HID0259","BB1886",1877,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1877"
"HID0260","BB1886",1877,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1877"
"HID0261","BB1886",1877,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1877"
"HID0262","BB1886",1877,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1877"
"HID0263","BB1886",1877,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1877"
"HID0264","BB1886",1877,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1877"
"HID0265","BB1886",1877,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1877"
"HID0266","BB1886",1877,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1877"
"HID0267","BB1886",1878,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1878"
"HID0268","BB1886",1878,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1878"
"HID0269","BB1886",1878,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1878"
"HID0270","BB1886",1878,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1878"
"HID0271","BB1886",1878,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1878"
"HID0272","BB1886",1878,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1878"
"HID0273","BB1886",1878,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1878"
"HID0274","BB1886",1878,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1878"
"HID0275","BB1886",1879,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1879"
"HID0276","BB1886",1879,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1879"
"HID0277","BB1886",1879,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1879"
"HID0278","BB1886",1879,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1879"
"HID0279","BB1886",1879,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1879"
"HID0280","BB1886",1879,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1879"
"HID0281","BB1886",1879,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1879"
"HID0282","BB1886",1879,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1879"
"HID0283","BB1886",1880,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1880"
